129,159,161,191
69,65,101,97
156,91,188,123
276,140,308,172
333,141,365,173
133,144,165,176
48,151,80,183
268,157,300,189
126,176,158,208
323,177,355,209
259,193,291,225
312,214,344,246
249,226,281,258
145,238,177,270
142,257,174,289
238,262,270,294
293,269,325,301
136,276,168,308
133,295,165,327
279,322,311,354
219,338,251,370
205,352,237,384
263,373,295,405
316,-6,348,26
184,120,216,152
-15,206,17,238
101,244,133,276
69,65,101,97
206,68,238,100
198,91,230,123
283,103,315,135
143,106,175,138
179,139,211,171
173,157,205,189
129,159,161,191
169,171,201,203
263,173,295,205
126,176,158,208
28,183,60,215
161,185,193,217
116,192,148,224
152,205,184,237
111,209,143,241
254,211,286,243
107,229,139,261
13,241,45,273
6,269,38,301
1,270,33,302
-2,286,30,318
122,311,154,343
220,318,252,350
-10,344,22,376
208,370,240,402
